figure_id	figure_main_claim	figure_claim_type	panel_id	panel_scientific_question	data_source_class	evidence_role	counts_toward_evidence_panel_target	source_data_file	plotting_code_path	statistical_test_or_model	n_definition	reviewer_risk
Fig2	Mechanism-aware interpretation requires evidence across empirical diagnostic gates, independent biological anchors, known-truth simulations and robustness stress tests rather than a universal visual ranking.	hybrid empirical-simulation evidence synthesis	a	Do methods have matched support across empirical diagnostics, biological anchors and mechanism simulations?	D5 hybrid empirical-simulation synthesis	source-data-backed synthesis panel	TRUE	data\source_data\Figure_2_panel_a_method_evidence_layers.csv	figures/plot_figure_2.py	Descriptive support fractions, failure fractions, threshold margins, or cross-layer summaries; no inferential p-value test is reported.	n is the number of source-data rows contributing to the relevant support or failure fraction, as recorded in the panel source table.	Moderate; this is an integrated synthesis and must be read with detailed source panels in Figs. 3-7 and Supplementary Fig. S1.
Fig2	Mechanism-aware interpretation requires evidence across empirical diagnostic gates, independent biological anchors, known-truth simulations and robustness stress tests rather than a universal visual ranking.	hybrid empirical-simulation evidence synthesis	b	Do mechanism-family averages hide evidence-layer dependence?	D5 hybrid empirical-simulation synthesis	source-data-backed synthesis panel	TRUE	data\source_data\Figure_2_panel_b_family_evidence_layers.csv	figures/plot_figure_2.py	Descriptive support fractions, failure fractions, threshold margins, or cross-layer summaries; no inferential p-value test is reported.	n is the number of source-data rows contributing to the relevant support or failure fraction, as recorded in the panel source table.	Moderate; this is an integrated synthesis and must be read with detailed source panels in Figs. 3-7 and Supplementary Fig. S1.
Fig2	Mechanism-aware interpretation requires evidence across empirical diagnostic gates, independent biological anchors, known-truth simulations and robustness stress tests rather than a universal visual ranking.	hybrid empirical-simulation evidence synthesis	c	Which biological claim gates are supported by each mechanism family?	D2 empirical-derived diagnostic synthesis	source-data-backed synthesis panel	TRUE	data\source_data\Figure_2_panel_c_family_gate_support.csv	figures/plot_figure_2.py	Descriptive support fractions, failure fractions, threshold margins, or cross-layer summaries; no inferential p-value test is reported.	n is the number of source-data rows contributing to the relevant support or failure fraction, as recorded in the panel source table.	Moderate; this is an integrated synthesis and must be read with detailed source panels in Figs. 3-7 and Supplementary Fig. S1.
Fig2	Mechanism-aware interpretation requires evidence across empirical diagnostic gates, independent biological anchors, known-truth simulations and robustness stress tests rather than a universal visual ranking.	hybrid empirical-simulation evidence synthesis	d	Which data contexts make particular claim gates hardest to satisfy?	D2 empirical-derived diagnostic synthesis	source-data-backed synthesis panel	TRUE	data\source_data\Figure_2_panel_d_dataset_gate_support.csv	figures/plot_figure_2.py	Descriptive support fractions, failure fractions, threshold margins, or cross-layer summaries; no inferential p-value test is reported.	n is the number of source-data rows contributing to the relevant support or failure fraction, as recorded in the panel source table.	Moderate; this is an integrated synthesis and must be read with detailed source panels in Figs. 3-7 and Supplementary Fig. S1.
Fig2	Mechanism-aware interpretation requires evidence across empirical diagnostic gates, independent biological anchors, known-truth simulations and robustness stress tests rather than a universal visual ranking.	hybrid empirical-simulation evidence synthesis	e	Which independent biological anchors support the visual-interpretation claims?	D2 empirical-derived biological-anchor synthesis	source-data-backed synthesis panel	TRUE	data\source_data\Figure_2_panel_e_biological_anchor_support.csv	figures/plot_figure_2.py	Descriptive support fractions, failure fractions, threshold margins, or cross-layer summaries; no inferential p-value test is reported.	n is the number of source-data rows contributing to the relevant support or failure fraction, as recorded in the panel source table.	Moderate; this is an integrated synthesis and must be read with detailed source panels in Figs. 3-7 and Supplementary Fig. S1.
Fig2	Mechanism-aware interpretation requires evidence across empirical diagnostic gates, independent biological anchors, known-truth simulations and robustness stress tests rather than a universal visual ranking.	hybrid empirical-simulation evidence synthesis	f	Which mechanism families pass known-truth simulation claim axes?	D4 simulation-derived synthesis	source-data-backed synthesis panel	TRUE	data\source_data\Figure_2_panel_f_simulation_claim_support_by_family.csv	figures/plot_figure_2.py	Descriptive support fractions, failure fractions, threshold margins, or cross-layer summaries; no inferential p-value test is reported.	n is the number of source-data rows contributing to the relevant support or failure fraction, as recorded in the panel source table.	Moderate; this is an integrated synthesis and must be read with detailed source panels in Figs. 3-7 and Supplementary Fig. S1.
Fig2	Mechanism-aware interpretation requires evidence across empirical diagnostic gates, independent biological anchors, known-truth simulations and robustness stress tests rather than a universal visual ranking.	hybrid empirical-simulation evidence synthesis	g	Are empirical gates and biological anchors concordant at the method level?	D5 hybrid empirical-simulation synthesis	source-data-backed synthesis panel	TRUE	data\source_data\Figure_2_panel_g_cross_layer_concordance.csv	figures/plot_figure_2.py	Descriptive support fractions, failure fractions, threshold margins, or cross-layer summaries; no inferential p-value test is reported.	n is the number of source-data rows contributing to the relevant support or failure fraction, as recorded in the panel source table.	Moderate; this is an integrated synthesis and must be read with detailed source panels in Figs. 3-7 and Supplementary Fig. S1.
Fig2	Mechanism-aware interpretation requires evidence across empirical diagnostic gates, independent biological anchors, known-truth simulations and robustness stress tests rather than a universal visual ranking.	hybrid empirical-simulation evidence synthesis	h	Which known-truth simulation claim axes are supported by each method?	D4 simulation-derived synthesis	source-data-backed synthesis panel	TRUE	data\source_data\Figure_2_panel_h_method_simulation_claim_support.csv	figures/plot_figure_2.py	Descriptive support fractions, failure fractions, threshold margins, or cross-layer summaries; no inferential p-value test is reported.	n is the number of source-data rows contributing to the relevant support or failure fraction, as recorded in the panel source table.	Moderate; this is an integrated synthesis and must be read with detailed source panels in Figs. 3-7 and Supplementary Fig. S1.
Fig2	Mechanism-aware interpretation requires evidence across empirical diagnostic gates, independent biological anchors, known-truth simulations and robustness stress tests rather than a universal visual ranking.	hybrid empirical-simulation evidence synthesis	i	Which diagnostic metrics fail under dropout or noise stress?	D4 simulation-derived perturbation synthesis	source-data-backed synthesis panel	TRUE	data\source_data\Figure_2_panel_i_perturbation_failure_by_metric.csv	figures/plot_figure_2.py	Descriptive support fractions, failure fractions, threshold margins, or cross-layer summaries; no inferential p-value test is reported.	n is the number of source-data rows contributing to the relevant support or failure fraction, as recorded in the panel source table.	Moderate; this is an integrated synthesis and must be read with detailed source panels in Figs. 3-7 and Supplementary Fig. S1.
Fig2	Mechanism-aware interpretation requires evidence across empirical diagnostic gates, independent biological anchors, known-truth simulations and robustness stress tests rather than a universal visual ranking.	hybrid empirical-simulation evidence synthesis	j	Which methods are constrained by their weakest evidence layer?	D5 hybrid empirical-simulation synthesis	source-data-backed synthesis panel	TRUE	data\source_data\Figure_2_panel_j_method_evidence_bottleneck.csv	figures/plot_figure_2.py	Descriptive support fractions, failure fractions, threshold margins, or cross-layer summaries; no inferential p-value test is reported.	n is the number of source-data rows contributing to the relevant support or failure fraction, as recorded in the panel source table.	Moderate; this is an integrated synthesis and must be read with detailed source panels in Figs. 3-7 and Supplementary Fig. S1.
