failure_mode,evidence_source,n_cases,fraction_below_threshold,trigger,recommended_action,source_definition
continuum_gate_below_threshold,fig4_gate_pass_matrix.csv,8,1.0,continuum_gate has below-threshold support in one or more method-dataset contexts,Report trajectory/continuum claims only with pseudotime or lineage-state diagnostics.,"Derived from predeclared Fig4 diagnostic gates, not from an overall method rank."
donor_aware_gate_below_threshold,fig4_gate_pass_matrix.csv,8,0.5,donor_aware_gate has below-threshold support in one or more method-dataset contexts,Check donor entropy together with biological-label conservation; donor mixing alone is not sufficient.,"Derived from predeclared Fig4 diagnostic gates, not from an overall method rank."
global_geometry_gate_below_threshold,fig4_gate_pass_matrix.csv,24,0.16666666666666666,global_geometry_gate has below-threshold support in one or more method-dataset contexts,Avoid distance or trajectory-shape claims unless global-rank preservation is adequate.,"Derived from predeclared Fig4 diagnostic gates, not from an overall method rank."
label_support_gate_below_threshold,fig4_gate_pass_matrix.csv,24,0.4166666666666667,label_support_gate has below-threshold support in one or more method-dataset contexts,Add independent marker or annotation evidence before claiming cell-type separation.,"Derived from predeclared Fig4 diagnostic gates, not from an overall method rank."
local_neighbourhood_gate_below_threshold,fig4_gate_pass_matrix.csv,24,0.9583333333333334,local_neighbourhood_gate has below-threshold support in one or more method-dataset contexts,Do not use local cluster separation as biological evidence without label or marker support; inspect kNN retention and trustworthiness.,"Derived from predeclared Fig4 diagnostic gates, not from an overall method rank."
worst_case_PCA_label_neighbor_recall,fig6_worst_case_support.csv,28,1.0,PCA label_neighbor_recall falls below threshold under at least one tested robustness condition,"Inspect dimension response, upstream PCA response and perturbation curves before using this method for the associated claim.",Derived from worst-case Fig6 robustness metrics across predeclared conditions.
worst_case_PCA_local_retention,fig6_worst_case_support.csv,28,1.0,PCA local_retention falls below threshold under at least one tested robustness condition,"Inspect dimension response, upstream PCA response and perturbation curves before using this method for the associated claim.",Derived from worst-case Fig6 robustness metrics across predeclared conditions.
worst_case_PCA_trustworthiness,fig6_worst_case_support.csv,28,1.0,PCA trustworthiness falls below threshold under at least one tested robustness condition,"Inspect dimension response, upstream PCA response and perturbation curves before using this method for the associated claim.",Derived from worst-case Fig6 robustness metrics across predeclared conditions.
worst_case_PHATE_global_rank_corr,fig6_worst_case_support.csv,37,1.0,PHATE global_rank_corr falls below threshold under at least one tested robustness condition,"Inspect dimension response, upstream PCA response and perturbation curves before using this method for the associated claim.",Derived from worst-case Fig6 robustness metrics across predeclared conditions.
worst_case_PHATE_label_neighbor_recall,fig6_worst_case_support.csv,37,1.0,PHATE label_neighbor_recall falls below threshold under at least one tested robustness condition,"Inspect dimension response, upstream PCA response and perturbation curves before using this method for the associated claim.",Derived from worst-case Fig6 robustness metrics across predeclared conditions.
worst_case_PHATE_local_retention,fig6_worst_case_support.csv,37,1.0,PHATE local_retention falls below threshold under at least one tested robustness condition,"Inspect dimension response, upstream PCA response and perturbation curves before using this method for the associated claim.",Derived from worst-case Fig6 robustness metrics across predeclared conditions.
worst_case_PHATE_trustworthiness,fig6_worst_case_support.csv,37,1.0,PHATE trustworthiness falls below threshold under at least one tested robustness condition,"Inspect dimension response, upstream PCA response and perturbation curves before using this method for the associated claim.",Derived from worst-case Fig6 robustness metrics across predeclared conditions.
worst_case_PaCMAP_label_neighbor_recall,fig6_worst_case_support.csv,37,1.0,PaCMAP label_neighbor_recall falls below threshold under at least one tested robustness condition,"Inspect dimension response, upstream PCA response and perturbation curves before using this method for the associated claim.",Derived from worst-case Fig6 robustness metrics across predeclared conditions.
