figure,panel,figure main claim,panel scientific question,evidence type,source data file,metric or statistical definition,n definition,missing and exclusion rule,inferential scope,reviewer-risk control
Fig2,a,Execution-aligned mathematical specifications show unsupported empirical concordance and stronger known-truth concordance under the primary coding.,Which empirical structures are retained by each method in each biological context?,continuous empirical diagnostics,Fig2a_empirical_threshold_margins.csv,Signed relative threshold margin for four diagnostics in 24 method-context runs.,"n = 24 method-context runs, each contributing four diagnostics.",Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig2,b,Execution-aligned mathematical specifications show unsupported empirical concordance and stronger known-truth concordance under the primary coding.,Which combinations of empirical endpoints separate method profiles?,multivariate empirical profile analysis,Fig2b_empirical_profile_pca_scores.csv; Fig2b_empirical_profile_pca_loadings.csv,PCA of 12 z-standardised context-by-diagnostic variables.,n = 8 method profiles.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig2,c,Execution-aligned mathematical specifications show unsupported empirical concordance and stronger known-truth concordance under the primary coding.,Are method rankings stable across biological contexts for each endpoint?,exact empirical rank analysis,Fig2c_context_rank_concordance.csv,Spearman rho with exact two-sided 8! label permutations and Benjamini-Hochberg correction across 12 tests.,n = 8 paired method values per endpoint-context comparison.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Exact two-sided permutation P values are Benjamini-Hochberg adjusted across the 12 endpoint-context rank-concordance tests.,The tests quantify rank concordance within the fixed eight-method panel and do not imply population-level method superiority.
Fig2,d,Execution-aligned mathematical specifications show unsupported empirical concordance and stronger known-truth concordance under the primary coding.,How much endpoint variation is associated with method or biological context?,descriptive variance decomposition,Fig2d_empirical_variance_partition.csv,"Two-way additive sums-of-squares fractions for method, context and residual structure.",n = 24 method-context values per endpoint.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig2,e,Execution-aligned mathematical specifications show unsupported empirical concordance and stronger known-truth concordance under the primary coding.,Are execution-aligned specification distances concordant with empirical and known-truth profile distances?,exact specification-to-profile concordance,Fig2e_objective_signature_matrix.csv; Fig2e_profile_distance_concordance.csv; Fig2e_mantel_summary.csv,Jaccard distance over 17 binary execution-aligned specification features and standardised Euclidean profile distances with exact two-sided Mantel tests over 8! label permutations; the two specification-profile tests are Benjamini-Hochberg adjusted.,"n = 8 methods and 28 unique method pairs; inference uses 40,320 matrix-label permutations.",Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Exact two-sided Mantel P values are Benjamini-Hochberg adjusted across the two prespecified specification-to-profile tests.,Inference is conditional on the eight evaluated pipelines and the declared 17-feature specification; it is not transferred to the remaining catalogue methods.
Fig2,f,Execution-aligned mathematical specifications show unsupported empirical concordance and stronger known-truth concordance under the primary coding.,Which known structures are retained across six controlled scenarios?,continuous known-truth simulation,Fig2f_simulation_boundary_margins.csv,Mean signed relative boundary margin across five independently generated datasets for each method-scenario-metric combination.,"n = 224 method-scenario-metric summaries, each based on five independently generated datasets; 1,120 metric rows in total.",Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Known-truth computational evidence; it does not establish new empirical biology.
Fig2,g,Execution-aligned mathematical specifications show unsupported empirical concordance and stronger known-truth concordance under the primary coding.,Can same-label recovery remain high while known local geometry is poorly retained?,known-truth dissociation analysis,Fig2g_geometry_identity_decoupling.csv,Truth-local-retention margin versus same-label-neighbour margin; Spearman rho reported descriptively.,n = 240 method-scenario-generated-dataset runs; rows share methods and scenarios.,Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Descriptive computational comparison; no P value or population-level method ranking is inferred.
Fig3,a,Measured preservation profiles depend on endpoint and biological context.,How do the eight methods display discrete PBMC3k identities?,empirical coordinate record,fig3_pbmc3k_embedding_coordinates.csv,Two-dimensional method-specific coordinates coloured by annotation.,"n = cells in each method map; cells are display units, not comparative replicates.",Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Coordinates are qualitative records; visual separation is not scored and conclusions require paired diagnostics.
Fig3,b,Measured preservation profiles depend on endpoint and biological context.,How do the eight methods display continuum-like Paul15 structure?,empirical coordinate record,fig3_paul15_embedding_coordinates.csv,Two-dimensional method-specific coordinates coloured by annotation.,"n = cells in each method map; cells are display units, not comparative replicates.",Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Coordinates are qualitative records; visual separation is not scored and conclusions require paired diagnostics.
Fig3,c,Measured preservation profiles depend on endpoint and biological context.,How do the eight methods display donor-variable heart tissue structure?,empirical coordinate record,fig3_heart_embedding_coordinates.csv,Two-dimensional method-specific coordinates coloured by annotation.,"n = cells in each method map; cells are display units, not comparative replicates.",Unavailable or undefined method-context combinations are excluded; missing values are not imputed.,Descriptive analysis under prespecified diagnostic rules; no multiple-testing family is defined.,Coordinates are qualitative records; visual separation is not scored and conclusions require paired diagnostics.
