mechanism_family,method,defining_optimisation_mechanism,primary_structure_targeted,candidate_biological_claim,principal_interpretive_limitation
Factor/count models,PCA [17],Linear orthogonal decomposition of normalized expression variance,Dominant low-rank variance,Baseline global structure and major cell-state axes,"Weak for nonlinear manifolds, rare states and zero-heavy count effects"
Factor/count models,GLM-PCA [36],Generalized linear latent factor model for counts,Mean-variance-aware count factors,Count-sensitive global structure and broad cell identity,Limited for graph topology and nonlinear trajectory claims
Factor/count models,pCMF [37],Probabilistic count matrix factorization with sparse factors,Count-driven latent expression programs,Interpretable expression programs and factor structure,Local neighbourhood geometry is not directly optimized
Factor/count models,scGBM [38],Generalized bilinear model for gene-count variation,Bilinear count factors,Model-based count factor structure,Complex nonlinear transitions require independent diagnostics
Factor/count models,ZIFA [39],Zero-inflated factor analysis,Low-rank factors under dropout,Dropout-aware latent structure,Zero handling does not validate biological separation
Factor/count models,SSNMDI [40],"Joint matrix factorization, interpolation and graph regularization",Imputed low-rank expression with graph constraints,Missing-expression structure with annotation constraints,Clustering or graph constraints can shape the embedding
Factor/count models,tGPLVM [41],Heavy-tailed Gaussian-process latent-variable model,Outlier-resistant nonlinear latent factors,Robust latent structure under outliers,Scalability and model assumptions limit broad use
Deep latent models,scvis [27],Variational latent model with neighbour-preserving objective,Local visual neighbourhoods in a parametric latent space,Parametric visualization with local-structure emphasis,Tuning and mixed objectives affect interpretability
Deep latent models,VASC [28],Dropout-aware variational autoencoder reconstruction,Denoised nonlinear latent representation,Denoising-oriented latent structure,Recovered signal should not be treated as independent evidence
Deep latent models,SAUCIE [45],Sparse autoencoder with clustering and batch regularization,Regularized nonlinear latent manifold,Integrated visualization and batch-aware representation,Regularization choices can change the biological story
Deep latent models,SCDRHA [46],Hierarchical autoencoder followed by graph-aware learning,Denoised latent representation with graph structure,Joint denoising and graph-informed organization,Sequential modules can compound assumptions
Deep latent models,DREAM [47],Deep generative mixture model with dropout handling,Mixture-structured nonlinear latent states,Heterogeneous latent cell-state modelling,Mixture components can be overinterpreted as cell types
Deep latent models,DRA [48],Adversarial variational autoencoder with distribution matching,Distribution-aligned latent representation,Latent structure under distribution-matching constraints,Better distribution fit may not improve biological interpretability
Deep latent models,scGAE [49],Graph autoencoder reconstructing expression and cell-cell graph structure,Expression features coupled to graph topology,Graph-based biological hypotheses,Graph construction becomes part of the evidence
Deep latent models,VAE [82],Encoder-decoder generative latent model,Probabilistic nonlinear latent variables,Uncertainty-aware reconstruction and latent representation,Prior and decoder assumptions can dominate geometry
Deep latent models,scScope [83],Recurrent autoencoder for imputation and representation,Imputed nonlinear latent representation,Dropout-imputation-oriented visualization,Imputation-induced structure may not reflect measured biology
Graph/diffusion models,UMAP [22],Fuzzy nearest-neighbour graph optimization,Local topological neighbourhoods,Exploratory neighbourhood structure,"Global distances, cluster spacing and parameter sensitivity need caution"
Graph/diffusion models,PHATE [24],Diffusion potential embedding of transition structure,Diffusion geometry and continuum organization,Trajectory-like processes and gradual transitions,Discrete separation and donor effects can dominate maps
Graph/diffusion models,SIMLR [50],Multi-kernel similarity learning and embedding,Learned cell-cell similarity,Similarity-driven cell-state organization,Kernel weighting can obscure the preserved signal
Graph/diffusion models,EDGE [51],Hashing-based ensemble similarity learning,Scalable cell-cell graph structure,Large-scale graph construction,Weak learners may blur rare or subtle states
Graph/diffusion models,SPDR [52],Triplet graph embedding using batch-aware neighbour relations,Batch-aware neighbour structure,Structure preservation under batch variation,Batch correction and biological preservation require separate checks
Relational embeddings,t-SNE [18],Neighbour-probability matching,Local similarity relationships,Local neighbourhood visualization,"Global geometry, cluster size and trajectory claims are unreliable"
Relational embeddings,TriMap [59],Triplet constraints on relative ordering,Relative distance order and global layout,Global relational visualization,Triplet sampling can underrepresent rare states
Relational embeddings,PaCMAP [60],Pairwise attraction and repulsion across near and distant pairs,"Balanced local, midrange and distant relations",Mixed local-global visualization,Optimization stages and pair sampling shape the claim
Relational embeddings,IVIS [61],Siamese neural network with triplet loss,Parametric relative similarity,Scalable projection of new cells,Training data and triplet sampling define retained relations
Relational embeddings,SQuaD-MDS [62],Quadruplet-based relative-distance approximation,Global relational distance structure,Scalable global relationship preservation,Local cell-type neighbourhoods require independent testing


