failure_mode,evidence_source,n_cases,fraction_below_threshold,trigger,recommended_action,source_definition,failed_cases,action_category,evidence_layer,short_mode
practice_check_mechanism_simulation,fig6_mechanism_simulation_suite.csv,224,0.5,mechanism_simulation robustness axis contains below-threshold diagnostic rows,"Use the mechanism simulation suite as a ground-truth stress test, not as a universal method ranking.",Derived from Fig6 practice-map synthesis.,112.0,mechanism simulation,mechanism sim.,mechanism simulation
practice_check_output_dimension,fig6_output_dimension_response.csv,240,0.4041666666666667,output_dimension robustness axis contains below-threshold diagnostic rows,Check whether the conclusion changes when the output dimension is increased beyond two.,Derived from Fig6 practice-map synthesis.,97.0,dimension sensitivity,output dimension,output dimension
practice_check_perturbation,fig6_dropout_noise_response.csv,192,0.4791666666666667,perturbation robustness axis contains below-threshold diagnostic rows,Check whether dropout or noise stress changes the claim-support diagnostics.,Derived from Fig6 practice-map synthesis.,92.0,dropout / noise sensitivity,dropout/noise,perturbation
practice_check_upstream_pca,fig6_upstream_pca_response.csv,144,0.4583333333333333,upstream_pca robustness axis contains below-threshold diagnostic rows,Check whether graph or relational layouts depend on the supplied PCA reference space.,Derived from Fig6 practice-map synthesis.,66.0,upstream PCA sensitivity,upstream PCA,upstream pca
worst_case_PHATE_global_rank_corr,fig6_worst_case_support.csv,37,1.0,PHATE global_rank_corr falls below threshold under at least one tested robustness condition,"Inspect dimension response, upstream PCA response and perturbation curves before using this method for the associated claim.",Derived from worst-case Fig6 robustness metrics across predeclared conditions.,37.0,robustness stress test,worst-case stress,PHATE global rank corr
worst_case_PHATE_label_neighbor_recall,fig6_worst_case_support.csv,37,1.0,PHATE label_neighbor_recall falls below threshold under at least one tested robustness condition,"Inspect dimension response, upstream PCA response and perturbation curves before using this method for the associated claim.",Derived from worst-case Fig6 robustness metrics across predeclared conditions.,37.0,robustness stress test,worst-case stress,PHATE label neighbor recall
worst_case_PHATE_local_retention,fig6_worst_case_support.csv,37,1.0,PHATE local_retention falls below threshold under at least one tested robustness condition,"Inspect dimension response, upstream PCA response and perturbation curves before using this method for the associated claim.",Derived from worst-case Fig6 robustness metrics across predeclared conditions.,37.0,robustness stress test,worst-case stress,PHATE local retention
worst_case_PHATE_trustworthiness,fig6_worst_case_support.csv,37,1.0,PHATE trustworthiness falls below threshold under at least one tested robustness condition,"Inspect dimension response, upstream PCA response and perturbation curves before using this method for the associated claim.",Derived from worst-case Fig6 robustness metrics across predeclared conditions.,37.0,robustness stress test,worst-case stress,PHATE trustworthiness
worst_case_PaCMAP_label_neighbor_recall,fig6_worst_case_support.csv,37,1.0,PaCMAP label_neighbor_recall falls below threshold under at least one tested robustness condition,"Inspect dimension response, upstream PCA response and perturbation curves before using this method for the associated claim.",Derived from worst-case Fig6 robustness metrics across predeclared conditions.,37.0,robustness stress test,worst-case stress,PaCMAP label neighbor recall


