figure	panel	figure_main_claim	panel_title	independent_scientific_question	evidence_grade	data_source_class	evidence_data_type	source_data_file	plotting_code	metric	unit	n_definition	statistical_definition	effect_size_definition	confidence_interval_or_error_bar	missing_value_handling	batch_or_confounder_control	random_seed	reviewer_risk	panel_decision
Fig2	a	Data context determines which dimensionality-reduction claims can be defended.	Do locked datasets differ in cell/gene scale and annotation complexity?	Do locked datasets differ in cell/gene scale and annotation complexity?	E2 empirical source-data summary	D2 empirical-derived analysis	empirical-derived descriptive analysis	dataset_summary.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 3 locked dataset rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; descriptive dataset lock.	keep; countable source-data-backed evidence panel
Fig2	b	Data context determines which dimensionality-reduction claims can be defended.	Which datasets contain severe label imbalance or rare states?	Which datasets contain severe label imbalance or rare states?	E2 empirical source-data summary	D2 empirical-derived analysis	empirical-derived descriptive analysis	dataset_composition.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 204 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; threshold is predeclared and shown in the panel.	keep; countable source-data-backed evidence panel
Fig2	c	Data context determines which dimensionality-reduction claims can be defended.	Is the heart atlas donor-variable enough to require donor-aware diagnostics?	Is the heart atlas donor-variable enough to require donor-aware diagnostics?	E2 empirical source-data summary	D2 empirical-derived analysis	empirical-derived descriptive analysis	dataset_composition.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 204 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; donor labels are metadata-derived.	keep; countable source-data-backed evidence panel
Fig2	d	Data context determines which dimensionality-reduction claims can be defended.	Which label-burden metrics differ across contexts?	Which label-burden metrics differ across contexts?	E2 empirical source-data summary	D2 empirical-derived analysis	empirical-derived descriptive analysis	fig2_label_burden_metrics.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 3 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; metrics are descriptive.	keep; countable source-data-backed evidence panel
Fig2	e	Data context determines which dimensionality-reduction claims can be defended.	How sparse are the locked analysis matrices used for embedding?	How sparse are the locked analysis matrices used for embedding?	E2 empirical source-data summary	D2 empirical-derived analysis	empirical-derived descriptive analysis	fig2_expression_sparsity_metrics.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 3 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; computed from locked analysis matrices.	keep; countable source-data-backed evidence panel
Fig2	f	Data context determines which dimensionality-reduction claims can be defended.	How much variance is represented by the PCA reference spaces before low-dimensional embedding?	How much variance is represented by the PCA reference spaces before low-dimensional embedding?	E2 empirical source-data summary	D2 empirical-derived analysis	empirical-derived descriptive analysis	fig2_pca_variance_structure.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 3 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; PCA variance is source-object derived.	keep; countable source-data-backed evidence panel
Fig2	g	Data context determines which dimensionality-reduction claims can be defended.	How separable are labels in PCA reference space before nonlinear embedding?	How separable are labels in PCA reference space before nonlinear embedding?	E2 empirical source-data summary	D2 empirical-derived analysis	empirical-derived descriptive analysis	fig2_pc_label_separability.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 3 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; silhouette sampling is stated in Methods.	keep; countable source-data-backed evidence panel
Fig2	h	Data context determines which dimensionality-reduction claims can be defended.	Do cells differ in detected-gene depth within each biological context?	Do cells differ in detected-gene depth within each biological context?	E2 empirical source-data summary	D2 empirical-derived analysis	empirical-derived descriptive analysis	fig2_detected_gene_quantiles.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 3 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; quantiles are descriptive source-data summaries.	keep; countable source-data-backed evidence panel
Fig2	i	Data context determines which dimensionality-reduction claims can be defended.	Do total-count depths differ across contexts in a way that may affect sparsity and likelihood assumptions?	Do total-count depths differ across contexts in a way that may affect sparsity and likelihood assumptions?	E2 empirical source-data summary	D2 empirical-derived analysis	empirical-derived descriptive analysis	fig2_total_count_depth.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 3 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; descriptive count-depth summary.	keep; countable source-data-backed evidence panel
Fig2	j	Data context determines which dimensionality-reduction claims can be defended.	Which contexts combine rare-state burden with shallow per-cell detection?	Which contexts combine rare-state burden with shallow per-cell detection?	E2 empirical source-data summary	D2 empirical-derived analysis	empirical-derived descriptive analysis	fig2_rare_label_burden.csv; fig2_cell_complexity_metrics.csv	figures/plot_figures_3_4.py	panel-specific metric encoded in source_data and plot_data tables	score, fraction, correlation, count or diagnostic delta as defined in the panel legend and source table	n = 6 source-data rows	Descriptive diagnostic score, threshold margin, pass fraction or source-data summary; no p-value hypothesis test.	reported score, support fraction, failure fraction, threshold margin or diagnostic delta shown in the panel	Shaded bands show min-max ranges where present; heatmaps and bars show source-data-derived fractions or scores without inferential confidence intervals	Not-applicable gate-source combinations remain explicitly not applicable; missing values are not imputed	Heart atlas panels include donor-variable diagnostics where relevant; other panels report predeclared context-specific diagnostics	0 for display jitter where used; simulation seeds stored in fig6_mechanism_simulation_design.*	Low; scaled metric must be defined in legend.	keep; countable source-data-backed evidence panel
