method,navigation_group,observation_model,latent_parameterization,explicit_objective_terms,constructed_or_conditioning_structures,directly_constrained_object,not_established_by_objective,derivation_anchor
PCA,factor_and_probabilistic,least_squares,linear_orthogonal_factor,reconstruction,centered_transformed_expression,rank_d_least_squares_reconstruction_and_variance,nonlinear_neighbourhoods_labels_or_continuum,PCA
GLM-PCA,factor_and_probabilistic,exponential_family_count,linear_generalized_factor,likelihood,counts_and_size_factors,low_rank_natural_parameter_or_log_mean,neighbourhood_topology_or_nonlinear_continuity,GLM-PCA
pCMF,factor_and_probabilistic,poisson_count,nonnegative_probabilistic_factor,likelihood;zero_model_or_imputation;sparsity_regularization,counts_and_prior_distributions,nonnegative_count_intensity_and_posterior_factors,euclidean_neighbourhood_or_global_geometry,pCMF
ZIFA,factor_and_probabilistic,zero_inflated_gaussian,linear_probabilistic_factor,likelihood;zero_model_or_imputation,expression_dependent_zero_process,low_rank_gaussian_factor_structure_under_the_specified_zero_model,graph_geometry_labels_or_local_neighbourhood_fidelity,ZIFA
SSNMDI,factor_and_probabilistic,least_squares,nonnegative_factorization,reconstruction;zero_model_or_imputation;graph_regularization;sparsity_regularization,expression_sparse_repair_partial_labels_and_graph_laplacian,imputed_low_rank_factorization_with_graph_smoothness,independent_label_validation_or_unsupervised_neighbourhood_recovery,SSNMDI
scGBM,factor_and_probabilistic,poisson_count,bilinear_generalized_factor,likelihood,counts_cell_intercepts_and_gene_intercepts,low_rank_log_intensity_surface,local_graph_or_nonlinear_manifold_preservation,scGBM
tGPLVM,factor_and_probabilistic,student_t_likelihood,gaussian_process_latent_variable,likelihood,gaussian_process_kernel_and_latent_prior,smooth_nonlinear_covariance_under_kernel_and_heavy_tailed_noise,cell_type_or_neighbourhood_preservation,tGPLVM
VAE,deep_latent,decoder_likelihood,neural_encoder_decoder,likelihood;latent_prior,observed_expression_and_latent_prior,generative_data_fit_balanced_against_latent_prior,pairwise_geometry_labels_or_trajectory_topology,VAE
scvis,deep_latent,decoder_likelihood,neural_encoder_decoder,likelihood;latent_prior;pairwise_probability,high_dimensional_neighbour_probabilities,generative_fit_and_local_pair_probability_matching,global_distance_or_biological_identity,scvis
VASC,deep_latent,zero_inflated_variational,neural_encoder_decoder,likelihood;latent_prior;zero_model_or_imputation,observed_expression_and_stochastic_zero_gate,generative_reconstruction_under_zero_gate_and_latent_prior,rare_state_or_global_geometry_preservation,VASC
SAUCIE,deep_latent,least_squares_autoencoder,neural_encoder_decoder,reconstruction;clustering_regularization;batch_alignment;distribution_matching;sparsity_regularization,batch_identifiers_and_hidden_layer_activations,reconstruction_with_entropy_and_distribution_alignment_constraints,independent_batch_removal_or_cell_identity,SAUCIE
scScope,deep_latent,least_squares_autoencoder,recurrent_neural_encoder_decoder,reconstruction;zero_model_or_imputation,zero_mask_and_recurrent_expression_updates,reconstruction_after_iterative_zero_value_correction,measured_local_geometry_or_biological_validity,scScope
scGAE,deep_latent,feature_or_adjacency_reconstruction,graph_neural_encoder_decoder,reconstruction;graph_regularization,expression_and_constructed_cell_graph,expression_and_or_adjacency_reconstruction,validity_of_input_graph_or_independent_cell_identity,scGAE
SCDRHA,deep_latent,zero_inflated_negative_binomial,multistage_neural_and_graph_pipeline,likelihood;zero_model_or_imputation;graph_regularization,counts_denoised_PCA_space_and_constructed_cell_graph,count_likelihood_followed_by_graph_attention_reconstruction,which_stage_causes_the_final_geometry_or_biological_validity,SCDRHA
DREAM,deep_latent,mixture_generative_with_zero_component,neural_encoder_decoder,likelihood;latent_prior;zero_model_or_imputation;clustering_regularization,expression_zero_component_and_latent_mixture,multimodal_generative_latent_distribution,identity_of_mixture_components_as_cell_states,DREAM
DRA,deep_latent,zero_inflated_negative_binomial,adversarial_neural_encoder_decoder,likelihood;latent_prior;zero_model_or_imputation;distribution_matching,counts_latent_prior_and_discriminators,reconstruction_and_alignment_of_latent_and_observed_distributions,cell_level_relations_or_biological_separation,DRA
UMAP,graph_and_diffusion,not_explicit,directly_optimized_coordinates,pairwise_probability,fuzzy_k_nearest_neighbour_graph,fuzzy_membership_cross_entropy_between_input_and_embedding,global_distances_cluster_gaps_or_trajectory_direction,UMAP
PHATE,graph_and_diffusion,not_explicit,diffusion_then_metric_embedding,diffusion_distance;metric_stress,adaptive_affinity_graph_markov_operator_and_diffusion_time,diffusion_potential_distance_embedded_by_metric_stress,biological_direction_cell_identity_or_batch_independence,PHATE
SIMLR,graph_and_diffusion,not_explicit,learned_similarity_and_spectral_coordinates,similarity_learning;graph_regularization,multiple_kernels_and_kernel_weights,regularized_cell_similarity_matrix_and_its_spectral_embedding,continuum_direction_or_absolute_global_distance,SIMLR
EDGE,graph_and_diffusion,not_explicit,ensemble_similarity_and_spectral_coordinates,similarity_learning,feature_subsamples_hash_partitions_and_ensemble_members,ensemble_averaged_cell_similarity_graph,rare_state_recovery_or_metric_fidelity,EDGE
