method,family,support_fraction,n_rows,evidence_layer,source_definition
PCA,factor,0.5454545455,11,empirical gates,"support_fraction combines empirical diagnostic gates, independent biological-anchor rows, or mechanism-simulation rows as defined in the upstream source tables"
PCA,factor,0.375,16,biological anchors,"support_fraction combines empirical diagnostic gates, independent biological-anchor rows, or mechanism-simulation rows as defined in the upstream source tables"
PCA,factor,0.6071428571,28,mechanism simulations,"support_fraction combines empirical diagnostic gates, independent biological-anchor rows, or mechanism-simulation rows as defined in the upstream source tables"
GLM-PCA,factor,0.5454545455,11,empirical gates,"support_fraction combines empirical diagnostic gates, independent biological-anchor rows, or mechanism-simulation rows as defined in the upstream source tables"
GLM-PCA,factor,0.875,16,biological anchors,"support_fraction combines empirical diagnostic gates, independent biological-anchor rows, or mechanism-simulation rows as defined in the upstream source tables"
GLM-PCA,factor,0.7142857143,28,mechanism simulations,"support_fraction combines empirical diagnostic gates, independent biological-anchor rows, or mechanism-simulation rows as defined in the upstream source tables"
scScope,deep,0,11,empirical gates,"support_fraction combines empirical diagnostic gates, independent biological-anchor rows, or mechanism-simulation rows as defined in the upstream source tables"
scScope,deep,0,16,biological anchors,"support_fraction combines empirical diagnostic gates, independent biological-anchor rows, or mechanism-simulation rows as defined in the upstream source tables"
scScope,deep,0,28,mechanism simulations,"support_fraction combines empirical diagnostic gates, independent biological-anchor rows, or mechanism-simulation rows as defined in the upstream source tables"
SAUCIE,deep,0.5454545455,11,empirical gates,"support_fraction combines empirical diagnostic gates, independent biological-anchor rows, or mechanism-simulation rows as defined in the upstream source tables"
SAUCIE,deep,0.625,16,biological anchors,"support_fraction combines empirical diagnostic gates, independent biological-anchor rows, or mechanism-simulation rows as defined in the upstream source tables"
SAUCIE,deep,0.6071428571,28,mechanism simulations,"support_fraction combines empirical diagnostic gates, independent biological-anchor rows, or mechanism-simulation rows as defined in the upstream source tables"
UMAP,graph,0.3636363636,11,empirical gates,"support_fraction combines empirical diagnostic gates, independent biological-anchor rows, or mechanism-simulation rows as defined in the upstream source tables"
UMAP,graph,1,16,biological anchors,"support_fraction combines empirical diagnostic gates, independent biological-anchor rows, or mechanism-simulation rows as defined in the upstream source tables"
UMAP,graph,0.5357142857,28,mechanism simulations,"support_fraction combines empirical diagnostic gates, independent biological-anchor rows, or mechanism-simulation rows as defined in the upstream source tables"
PHATE,graph,0.5454545455,11,empirical gates,"support_fraction combines empirical diagnostic gates, independent biological-anchor rows, or mechanism-simulation rows as defined in the upstream source tables"
PHATE,graph,1,16,biological anchors,"support_fraction combines empirical diagnostic gates, independent biological-anchor rows, or mechanism-simulation rows as defined in the upstream source tables"
PHATE,graph,0.5,28,mechanism simulations,"support_fraction combines empirical diagnostic gates, independent biological-anchor rows, or mechanism-simulation rows as defined in the upstream source tables"
t-SNE,relational,0.5454545455,11,empirical gates,"support_fraction combines empirical diagnostic gates, independent biological-anchor rows, or mechanism-simulation rows as defined in the upstream source tables"
t-SNE,relational,1,16,biological anchors,"support_fraction combines empirical diagnostic gates, independent biological-anchor rows, or mechanism-simulation rows as defined in the upstream source tables"
t-SNE,relational,0.5,28,mechanism simulations,"support_fraction combines empirical diagnostic gates, independent biological-anchor rows, or mechanism-simulation rows as defined in the upstream source tables"
PaCMAP,relational,0.4545454545,11,empirical gates,"support_fraction combines empirical diagnostic gates, independent biological-anchor rows, or mechanism-simulation rows as defined in the upstream source tables"
PaCMAP,relational,1,16,biological anchors,"support_fraction combines empirical diagnostic gates, independent biological-anchor rows, or mechanism-simulation rows as defined in the upstream source tables"
PaCMAP,relational,0.5357142857,28,mechanism simulations,"support_fraction combines empirical diagnostic gates, independent biological-anchor rows, or mechanism-simulation rows as defined in the upstream source tables"
