dataset_id,method,family,claim_gate,support,components,source_data,support_definition,supported,column_key
heart_cell_atlas_subsampled,GLM-PCA,factor,local_neighbourhood_gate,below_threshold,local_retention;trustworthiness,fig4_local_gate_metrics.csv,All listed predeclared components pass the Fig4 diagnostic thresholds.,0,"('heart_cell_atlas_subsampled', 'local_neighbourhood_gate')"
heart_cell_atlas_subsampled,GLM-PCA,factor,label_support_gate,pass,label_neighbor_recall,fig4_local_gate_metrics.csv,Label-neighbour recall passes the Fig4 diagnostic threshold.,1,"('heart_cell_atlas_subsampled', 'label_support_gate')"
heart_cell_atlas_subsampled,PCA,factor,local_neighbourhood_gate,below_threshold,local_retention;trustworthiness,fig4_local_gate_metrics.csv,All listed predeclared components pass the Fig4 diagnostic thresholds.,0,"('heart_cell_atlas_subsampled', 'local_neighbourhood_gate')"
heart_cell_atlas_subsampled,PCA,factor,label_support_gate,pass,label_neighbor_recall,fig4_local_gate_metrics.csv,Label-neighbour recall passes the Fig4 diagnostic threshold.,1,"('heart_cell_atlas_subsampled', 'label_support_gate')"
heart_cell_atlas_subsampled,PHATE,graph,local_neighbourhood_gate,below_threshold,local_retention;trustworthiness,fig4_local_gate_metrics.csv,All listed predeclared components pass the Fig4 diagnostic thresholds.,0,"('heart_cell_atlas_subsampled', 'local_neighbourhood_gate')"
heart_cell_atlas_subsampled,PHATE,graph,label_support_gate,pass,label_neighbor_recall,fig4_local_gate_metrics.csv,Label-neighbour recall passes the Fig4 diagnostic threshold.,1,"('heart_cell_atlas_subsampled', 'label_support_gate')"
heart_cell_atlas_subsampled,PaCMAP,relational,local_neighbourhood_gate,below_threshold,local_retention;trustworthiness,fig4_local_gate_metrics.csv,All listed predeclared components pass the Fig4 diagnostic thresholds.,0,"('heart_cell_atlas_subsampled', 'local_neighbourhood_gate')"
heart_cell_atlas_subsampled,PaCMAP,relational,label_support_gate,pass,label_neighbor_recall,fig4_local_gate_metrics.csv,Label-neighbour recall passes the Fig4 diagnostic threshold.,1,"('heart_cell_atlas_subsampled', 'label_support_gate')"
heart_cell_atlas_subsampled,SAUCIE,deep,local_neighbourhood_gate,below_threshold,local_retention;trustworthiness,fig4_local_gate_metrics.csv,All listed predeclared components pass the Fig4 diagnostic thresholds.,0,"('heart_cell_atlas_subsampled', 'local_neighbourhood_gate')"
heart_cell_atlas_subsampled,SAUCIE,deep,label_support_gate,pass,label_neighbor_recall,fig4_local_gate_metrics.csv,Label-neighbour recall passes the Fig4 diagnostic threshold.,1,"('heart_cell_atlas_subsampled', 'label_support_gate')"
heart_cell_atlas_subsampled,UMAP,graph,local_neighbourhood_gate,below_threshold,local_retention;trustworthiness,fig4_local_gate_metrics.csv,All listed predeclared components pass the Fig4 diagnostic thresholds.,0,"('heart_cell_atlas_subsampled', 'local_neighbourhood_gate')"
heart_cell_atlas_subsampled,UMAP,graph,label_support_gate,pass,label_neighbor_recall,fig4_local_gate_metrics.csv,Label-neighbour recall passes the Fig4 diagnostic threshold.,1,"('heart_cell_atlas_subsampled', 'label_support_gate')"
heart_cell_atlas_subsampled,scScope,deep,local_neighbourhood_gate,below_threshold,local_retention;trustworthiness,fig4_local_gate_metrics.csv,All listed predeclared components pass the Fig4 diagnostic thresholds.,0,"('heart_cell_atlas_subsampled', 'local_neighbourhood_gate')"
heart_cell_atlas_subsampled,scScope,deep,label_support_gate,pass,label_neighbor_recall,fig4_local_gate_metrics.csv,Label-neighbour recall passes the Fig4 diagnostic threshold.,1,"('heart_cell_atlas_subsampled', 'label_support_gate')"
heart_cell_atlas_subsampled,t-SNE,relational,local_neighbourhood_gate,pass,local_retention;trustworthiness,fig4_local_gate_metrics.csv,All listed predeclared components pass the Fig4 diagnostic thresholds.,1,"('heart_cell_atlas_subsampled', 'local_neighbourhood_gate')"
heart_cell_atlas_subsampled,t-SNE,relational,label_support_gate,pass,label_neighbor_recall,fig4_local_gate_metrics.csv,Label-neighbour recall passes the Fig4 diagnostic threshold.,1,"('heart_cell_atlas_subsampled', 'label_support_gate')"
