record type,dataset,method,navigation group,claim gate,diagnostic component,boundary shift,observed value,baseline boundary,shifted boundary,baseline margin,component decision,gate decision,components required,limiting margin,required components,baseline gate decision,unchanged from baseline,decision change,n definition
component,Heart-atlas subset,PCA,factor,donor aware gate,cell type label recall,-0.05,0.706425,0.55,0.5,0.156425,pass,,,,,,,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,
component,Heart-atlas subset,PCA,factor,donor aware gate,donor entropy norm,-0.05,0.6366284698,0.5,0.45,0.1366284698,pass,,,,,,,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,
component,Heart-atlas subset,PCA,factor,global geometry gate,global rank corr,-0.05,0.7385727893,0.45,0.4,0.2885727893,pass,,,,,,,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,
component,Heart-atlas subset,PCA,factor,label support gate,label neighbor recall,-0.05,0.706425,0.55,0.5,0.156425,pass,,,,,,,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,
component,Heart-atlas subset,PCA,factor,local neighbourhood gate,local retention,-0.05,0.05186666667,0.3,0.25,-0.2481333333,fail,,,,,,,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,
component,Heart-atlas subset,PCA,factor,local neighbourhood gate,trustworthiness,-0.05,0.815964896,0.9,0.85,-0.08403510405,fail,,,,,,,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,
component,Paul15,PCA,factor,continuum gate,pseudotime neighborhood retention,-0.05,0.6496560827,0.5,0.45,0.1496560827,pass,,,,,,,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,
component,Paul15,PCA,factor,continuum gate,pseudotime rank corr,-0.05,0.3527428232,0.45,0.4,-0.09725717684,fail,,,,,,,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,
component,Paul15,PCA,factor,global geometry gate,global rank corr,-0.05,0.6974668149,0.45,0.4,0.2474668149,pass,,,,,,,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,
component,Paul15,PCA,factor,label support gate,label neighbor recall,-0.05,0.3453235653,0.55,0.5,-0.2046764347,fail,,,,,,,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,
component,Paul15,PCA,factor,local neighbourhood gate,local retention,-0.05,0.08488400488,0.3,0.25,-0.2151159951,fail,,,,,,,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,
component,Paul15,PCA,factor,local neighbourhood gate,trustworthiness,-0.05,0.851169712,0.9,0.85,-0.04883028805,pass,,,,,,,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,
component,PBMC3k,PCA,factor,global geometry gate,global rank corr,-0.05,0.6516416813,0.45,0.4,0.2016416813,pass,,,,,,,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,
component,PBMC3k,PCA,factor,label support gate,label neighbor recall,-0.05,0.793631539,0.55,0.5,0.243631539,pass,,,,,,,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,
component,PBMC3k,PCA,factor,local neighbourhood gate,local retention,-0.05,0.0550922416,0.3,0.25,-0.2449077584,fail,,,,,,,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,
component,PBMC3k,PCA,factor,local neighbourhood gate,trustworthiness,-0.05,0.8058160986,0.9,0.85,-0.09418390141,fail,,,,,,,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,
component,Heart-atlas subset,GLM-PCA,factor,donor aware gate,cell type label recall,-0.05,0.798025,0.55,0.5,0.248025,pass,,,,,,,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,
component,Heart-atlas subset,GLM-PCA,factor,donor aware gate,donor entropy norm,-0.05,0.6103682279,0.5,0.45,0.1103682279,pass,,,,,,,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,
component,Heart-atlas subset,GLM-PCA,factor,global geometry gate,global rank corr,-0.05,0.5173644264,0.45,0.4,0.06736442636,pass,,,,,,,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,
component,Heart-atlas subset,GLM-PCA,factor,label support gate,label neighbor recall,-0.05,0.798025,0.55,0.5,0.248025,pass,,,,,,,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,
component,Heart-atlas subset,GLM-PCA,factor,local neighbourhood gate,local retention,-0.05,0.050775,0.3,0.25,-0.249225,fail,,,,,,,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,
component,Heart-atlas subset,GLM-PCA,factor,local neighbourhood gate,trustworthiness,-0.05,0.8365554845,0.9,0.85,-0.06344451548,fail,,,,,,,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,
component,Paul15,GLM-PCA,factor,continuum gate,pseudotime neighborhood retention,-0.05,0.599412757,0.5,0.45,0.09941275696,pass,,,,,,,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,
component,Paul15,GLM-PCA,factor,continuum gate,pseudotime rank corr,-0.05,0.3956826811,0.45,0.4,-0.05431731892,fail,,,,,,,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,
component,Paul15,GLM-PCA,factor,global geometry gate,global rank corr,-0.05,0.6530593231,0.45,0.4,0.2030593231,pass,,,,,,,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,
component,Paul15,GLM-PCA,factor,label support gate,label neighbor recall,-0.05,0.5456654457,0.55,0.5,-0.004334554335,pass,,,,,,,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,
component,Paul15,GLM-PCA,factor,local neighbourhood gate,local retention,-0.05,0.0622954823,0.3,0.25,-0.2377045177,fail,,,,,,,one method-dataset diagnostic component; cells or sampled pairs compute the component and are not independent replicates,
